draft_variant,prompt,seed,k,generated_tokens,spec_time_s,spec_tps,acceptance_rate,rounds,proposed_tokens,accepted_tokens,accepted_le_proposed,acc_in_range,speedup_vs_naive,matches_naive_ids
draft_small_1L,Hello World,0,3,32,3.2977868746966124,9.703477276088048,0.6052631578947368,13,38,23,True,True,0.8050986594528818,False
draft_small_1L,Hello World,0,5,32,0.8655457501299679,36.97089379180127,0.5319148936170213,10,47,25,True,True,3.06747943893304,False
draft_small_1L,Hello World,0,8,32,0.9505483750253916,33.66477797528737,0.2625,11,80,21,True,True,2.7931706178642703,False
draft_small_1L,Hello World,1,3,32,0.8246164997108281,38.805917673514394,0.7027027027027027,13,37,26,True,True,0.3802991547819858,False
draft_small_1L,Hello World,1,5,32,0.8476156662218273,37.752959596225026,0.4897959183673469,10,49,24,True,True,0.36998013410624697,False
draft_small_1L,Hello World,1,8,32,0.9517187080346048,33.623380238141195,0.29333333333333333,11,75,22,True,True,0.3295101327858997,False
draft_small_1L,The quick brown fox jumps over the lazy dog,0,3,32,0.9069417081773281,35.28341426077988,0.625,14,40,25,True,True,1.9564928396653463,False
draft_small_1L,The quick brown fox jumps over the lazy dog,0,5,32,0.846136000007391,37.81897945450906,0.4117647058823529,11,51,21,True,True,2.0970919072433993,False
draft_small_1L,The quick brown fox jumps over the lazy dog,0,8,32,0.9530840832740068,33.57521184287805,0.2727272727272727,11,77,21,True,True,1.8617716832992817,False
draft_small_1L,The quick brown fox jumps over the lazy dog,1,3,32,0.8156364168971777,39.233167299877984,0.55,14,40,22,True,True,0.34352811503860614,False
draft_small_1L,The quick brown fox jumps over the lazy dog,1,5,32,1.280746249947697,24.985433298209397,0.3389830508474576,13,59,20,True,True,0.21877404744692613,False
draft_small_1L,The quick brown fox jumps over the lazy dog,1,8,32,1.0047927079722285,31.84736488044303,0.21739130434782608,13,92,20,True,True,0.27885755801212925,False
draft_small_1L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0,3,32,2.5703253326937556,12.449785866781042,0.38636363636363635,15,44,17,True,True,0.6995555103820227,False
draft_small_1L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0,5,32,1.5978901656344533,20.02640775205859,0.23943661971830985,15,71,17,True,True,1.1252871371459254,False
draft_small_1L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0,8,32,1.1633861251175404,27.50591511203294,0.1574074074074074,15,108,17,True,True,1.54556188280031,False
draft_small_1L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,3,32,0.8488055001944304,37.700038457184796,0.391304347826087,16,46,18,True,True,0.3512479689909688,False
draft_small_1L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,5,32,0.9285148330964148,34.4636389849436,0.2608695652173913,15,69,18,True,True,0.3210947174827725,False
draft_small_1L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,8,32,1.14075249992311,28.0516588849526,0.17307692307692307,15,104,18,True,True,0.26135485833408434,False
draft_same_3L,Hello World,0,3,32,1.3286089999601245,24.08534038303249,0.4090909090909091,15,44,18,True,True,1.99836354567765,False
draft_same_3L,Hello World,0,5,32,1.458225707989186,21.944476650412547,0.23943661971830985,15,71,17,True,True,1.8207358280911892,False
draft_same_3L,Hello World,0,8,32,1.8093835837207735,17.685581038707095,0.1574074074074074,15,108,17,True,True,1.4673747545115792,False
draft_same_3L,Hello World,1,3,32,1.2513196249492466,25.57300258221229,0.4418604651162791,15,43,19,True,True,0.25061619078500996,False
draft_same_3L,Hello World,1,5,32,1.3351362077519298,23.96759208102133,0.3389830508474576,13,59,20,True,True,0.23488311981842008,False
draft_same_3L,Hello World,1,8,32,1.6497995001263916,19.396296336341763,0.2247191011235955,13,89,20,True,True,0.1900842846874923,False
draft_same_3L,The quick brown fox jumps over the lazy dog,0,3,32,1.2782600419595838,25.03402981363927,0.38636363636363635,15,44,17,True,True,1.3881564781784084,False
draft_same_3L,The quick brown fox jumps over the lazy dog,0,5,32,1.4715613750740886,21.74561016756022,0.23943661971830985,15,71,17,True,True,1.2058110440371292,False
draft_same_3L,The quick brown fox jumps over the lazy dog,0,8,32,1.83543433342129,17.434565441712806,0.1574074074074074,15,108,17,True,True,0.9667602516376782,False
draft_same_3L,The quick brown fox jumps over the lazy dog,1,3,32,1.274633124936372,25.10526313334074,0.3617021276595745,16,47,17,True,True,0.21982328512568436,False
draft_same_3L,The quick brown fox jumps over the lazy dog,1,5,32,1.4433122077025473,22.17122520631717,0.23943661971830985,15,71,17,True,True,0.1941326619134891,False
draft_same_3L,The quick brown fox jumps over the lazy dog,1,8,32,1.7880528750829399,17.896562481976748,0.1574074074074074,15,108,17,True,True,0.15670344247539839,False
draft_same_3L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0,3,32,1.4289697078056633,22.393756722204728,0.38636363636363635,15,44,17,True,True,1.2583088641686995,False
draft_same_3L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0,5,32,1.4213158749043941,22.51434784132873,0.23943661971830985,15,71,17,True,True,1.2650848989366084,False
draft_same_3L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0,8,32,1.8955928753130138,16.881262013983847,0.1574074074074074,15,108,17,True,True,0.9485608821269229,False
draft_same_3L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,3,32,1.3091887501068413,24.44261761139371,0.3469387755102041,17,49,17,True,True,0.2277297356758726,False
draft_same_3L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,5,32,1.4728308748453856,21.726866639293725,0.22972972972972974,16,74,17,True,True,0.20242732081710005,False
draft_same_3L,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,8,32,1.80588712496683,17.7198228823896,0.15178571428571427,16,112,17,True,True,0.1650940437471324,False
